State  Recv-Q Send-Q      Local Address:Port  Peer Address:PortProcess
LISTEN 0      10                0.0.0.0:7070       0.0.0.0:*          
LISTEN 0      4096              0.0.0.0:19999      0.0.0.0:*          
LISTEN 0      4096        127.0.0.53%lo:53         0.0.0.0:*          
LISTEN 0      128               0.0.0.0:22         0.0.0.0:*          
LISTEN 0      511               0.0.0.0:443        0.0.0.0:*          
LISTEN 0      4096            127.0.0.1:8384       0.0.0.0:*          
LISTEN 0      4096            127.0.0.1:8125       0.0.0.0:*          
LISTEN 0      4096            127.0.0.1:40217      0.0.0.0:*          
LISTEN 0      511             127.0.0.1:6379       0.0.0.0:*          
LISTEN 0      244             127.0.0.1:5432       0.0.0.0:*          
LISTEN 0      128             127.0.0.1:4317       0.0.0.0:*          
LISTEN 0      1024              0.0.0.0:8834       0.0.0.0:*          
LISTEN 0      128             127.0.0.1:631        0.0.0.0:*          
LISTEN 0      10                   [::]:7070          [::]:*          
LISTEN 0      511                     *:5678             *:*          
LISTEN 0      4096                    *:22000            *:*          
LISTEN 0      4096                 [::]:19999         [::]:*          
LISTEN 0      50                      *:34683            *:*          
LISTEN 0      4096   [::ffff:127.0.0.1]:9300             *:*          
LISTEN 0      4096   [::ffff:127.0.0.1]:9200             *:*          
LISTEN 0      128                  [::]:22            [::]:*          
LISTEN 0      128                 [::1]:631           [::]:*          
LISTEN 0      4096                    *:11434            *:*          
LISTEN 0      511                 [::1]:6379          [::]:*          
LISTEN 0      4096                    *:10050            *:*          
LISTEN 0      1024                 [::]:8834          [::]:*          
LISTEN 0      3                       *:24799            *:*          
